,Away_Score,Away_Team,Home_Score,Home_Team,Date
0,9,Bristol Rugby,15,Bath Rugby,1987-09-09
1,9,Harlequins,21,Bath Rugby,1987-09-28
2,0,Moseley,14,Bath Rugby,1987-09-04
3,18,Orrell,23,Bath Rugby,1987-12-10
4,17,Waterloo,10,Bath Rugby,1987-09-16
5,21,Gloucester RFC,16,Bristol Rugby,1987-09-05
6,10,Moseley,21,Bristol Rugby,1987-09-16
7,3,Sale,37,Bristol Rugby,1987-09-10
8,12,Wasps,12,Bristol Rugby,1987-09-08
9,9,Bath Rugby,9,Coventry,1987-09-14
10,3,Bristol Rugby,25,Coventry,1987-09-30
11,15,Harlequins,12,Coventry,1987-09-25
12,20,Nottingham,15,Coventry,1987-09-06
13,24,Orrell,11,Coventry,1987-10-01
14,19,Sale,24,Coventry,1987-09-05
15,10,Waterloo,15,Coventry,1987-09-19
16,16,Bath Rugby,9,Gloucester RFC,1987-09-15
17,3,Coventry,39,Gloucester RFC,1987-09-03
18,12,Moseley,18,Gloucester RFC,1987-09-18
19,9,Nottingham,17,Gloucester RFC,1987-09-10
20,7,Sale,61,Gloucester RFC,1987-09-29
21,24,Wasps,13,Gloucester RFC,1987-09-20
22,22,Bristol Rugby,28,Harlequins,1987-10-01
23,9,Gloucester RFC,9,Harlequins,1987-09-14
24,12,Leicester Tigers,9,Harlequins,1987-09-05
25,8,Nottingham,34,Harlequins,1987-09-27
26,12,Orrell,6,Harlequins,1987-09-19
27,0,Sale,66,Harlequins,1987-09-30
28,4,Waterloo,37,Harlequins,1987-09-22
29,13,Bath Rugby,24,Leicester Tigers,1987-09-03
30,10,Bristol Rugby,15,Leicester Tigers,1987-09-17
31,16,Coventry,32,Leicester Tigers,1987-09-07
32,15,Sale,42,Leicester Tigers,1987-09-26
33,9,Wasps,12,Leicester Tigers,1987-09-14
34,15,Waterloo,39,Leicester Tigers,1987-09-28
35,3,Coventry,26,Moseley,1987-09-10
36,32,Harlequins,11,Moseley,1987-09-23
37,21,Leicester Tigers,3,Moseley,1987-09-15
38,10,Orrell,28,Moseley,1987-09-08
39,12,Wasps,19,Moseley,1987-09-19
40,3,Waterloo,27,Moseley,1987-09-30
41,15,Bath Rugby,25,Nottingham,1987-09-08
42,16,Bristol Rugby,3,Nottingham,1987-12-10
43,22,Leicester Tigers,13,Nottingham,1987-09-13
44,12,Moseley,21,Nottingham,1987-09-02
45,12,Orrell,12,Nottingham,1987-12-10
46,25,Bristol Rugby,13,Orrell,1987-09-13
47,13,Gloucester RFC,9,Orrell,1987-09-25
48,6,Leicester Tigers,30,Orrell,1987-09-21
49,0,Sale,19,Orrell,1987-09-12
50,6,Waterloo,30,Orrell,1987-12-10
51,46,Bath Rugby,17,Sale,1987-10-01
52,19,Moseley,15,Sale,1987-09-07
53,17,Nottingham,0,Sale,1987-09-03
54,14,Wasps,6,Sale,1987-09-24
55,15,Bath Rugby,19,Wasps,1987-09-13
56,6,Coventry,49,Wasps,1987-09-29
57,16,Harlequins,17,Wasps,1987-09-18
58,9,Nottingham,17,Wasps,1987-09-15
59,15,Orrell,23,Wasps,1987-09-30
60,6,Gloucester RFC,16,Waterloo,1987-09-11
61,9,Nottingham,10,Waterloo,1987-09-09
62,13,Sale,29,Waterloo,1987-09-18
63,22,Wasps,13,Waterloo,1987-09-27
